Name,Code,Type,Indicator Name,2016,2017,2018
Paraguay,PRY,Country,Military expenditure (current USD),343232341,348179658,386556390
West Bank and Gaza,PSE,Country,Military expenditure (current USD),,,
Pacific island small states,PSS,Country,Military expenditure (current USD),,,
Post-demographic dividend,PST,Regions Clubbed Economically,Military expenditure (current USD),984000000000,1010000000000,1080000000000
French Polynesia,PYF,Semi Autonomous Region,Military expenditure (current USD),,,
Qatar,QAT,Country,Military expenditure (current USD),,,
Romania,ROU,Country,Military expenditure (current USD),2644159836,3622068492,4608673550
Russian Federation,RUS,Country,Military expenditure (current USD),69245309461,66527303992,61387546980
Rwanda,RWA,Country,Military expenditure (current USD),107278619,115716812,118959174
South Asia,SAS,Regions Clubbed Geographically,Military expenditure (current USD),72134959697,82077343949,84058551331
Saudi Arabia,SAU,Country,Military expenditure (current USD),63672800000,70400000000,67554666667
Sudan,SDN,Country,Military expenditure (current USD),2748511976,4382998817,1047878720
Senegal,SEN,Country,Military expenditure (current USD),304764264,305441262,346772975
Singapore,SGP,Country,Military expenditure (current USD),9873331564,10195721999,10841000269
Solomon Islands,SLB,Semi Autonomous Region,Military expenditure (current USD),,,
Sierra Leone,SLE,Country,Military expenditure (current USD),37414732,39577826,29622478
El Salvador,SLV,Country,Military expenditure (current USD),247600000,260900000,266460000
San Marino,SMR,Country,Military expenditure (current USD),,,
Somalia,SOM,Country,Military expenditure (current USD),47706000,60406000,61556000
Serbia,SRB,Country,Military expenditure (current USD),710397717,801700087,904323392
Sub-Saharan Africa (excluding high income),SSA,Regions Clubbed Economically,Military expenditure (current USD),19101394125,21610583992,18299260491
South Sudan,SSD,Country,Military expenditure (current USD),135338144,72388105,59353054
Sub-Saharan Africa,SSF,Regions Clubbed Geographically,Military expenditure (current USD),19128112584,21632842537,18322083773
Small states,SST,Regions Clubbed Geographically,Military expenditure (current USD),,,4875197474
Sao Tome and Principe,STP,Country,Military expenditure (current USD),,,
Suriname,SUR,Country,Military expenditure (current USD),,,
Slovak Republic,SVK,Country,Military expenditure (current USD),1003048084,1049074347,1280643981
Slovenia,SVN,Country,Military expenditure (current USD),449177539,473796757,529496123
Sweden,SWE,Country,Military expenditure (current USD),5427549191,5526592999,5755367603
Eswatini,SWZ,Country,Military expenditure (current USD),72447621,88678494,87787079
Sint Maarten (Dutch part),SXM,Semi Autonomous Region,Military expenditure (current USD),,,
Seychelles,SYC,Country,Military expenditure (current USD),26718459,22258545,22823283
Syrian Arab Republic,SYR,Country,Military expenditure (current USD),,,
Turks and Caicos Islands,TCA,Country,Military expenditure (current USD),,,
Chad,TCD,Country,Military expenditure (current USD),309567432,219081031,232930990
East Asia & Pacific (IDA & IBRD countries),TEA,Regions Clubbed Economically,Military expenditure (current USD),246000000000,258000000000,280000000000
Europe & Central Asia (IDA & IBRD countries),TEC,Regions Clubbed Economically,Military expenditure (current USD),109000000000,109000000000,110000000000
Togo,TGO,Country,Military expenditure (current USD),82019690,88414115,104378995
Thailand,THA,Country,Military expenditure (current USD),5876294938,6305880241,6829203403
Tajikistan,TJK,Country,Military expenditure (current USD),,,
Turkmenistan,TKM,Country,Military expenditure (current USD),,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Regions Clubbed Economically,Military expenditure (current USD),57271266152,65577192073,64183844798
Timor-Leste,TLS,Country,Military expenditure (current USD),26217000,25442000,20610000
Middle East & North Africa (IDA & IBRD countries),TMN,Regions Clubbed Economically,Military expenditure (current USD),41653978701,42887738360,41480239074
Tonga,TON,Country,Military expenditure (current USD),,,
South Asia (IDA & IBRD),TSA,Regions Clubbed Economically,Military expenditure (current USD),72134959697,82077343949,84058551331
Sub-Saharan Africa (IDA & IBRD countries),TSS,Regions Clubbed Economically,Military expenditure (current USD),19128112584,21632842537,18322083773
Trinidad and Tobago,TTO,Country,Military expenditure (current USD),216276660,202766994,169332468
Tunisia,TUN,Country,Military expenditure (current USD),987734705,858949581,844227367
Turkey,TUR,Country,Military expenditure (current USD),17853980850,17824007487,18967113031
Tuvalu,TUV,Country,Military expenditure (current USD),,,
Tanzania,TZA,Country,Military expenditure (current USD),544218298,611215552,675475234
Uganda,UGA,Country,Military expenditure (current USD),318551679,346762884,408367567
Ukraine,UKR,Country,Military expenditure (current USD),3423286811,3647565178,4750219044
Upper middle income,UMC,Regions Clubbed Economically,Military expenditure (current USD),411000000000,432000000000,449000000000
Uruguay,URY,Country,Military expenditure (current USD),988223630,1165710349,1168130814
United States,USA,Country,Military expenditure (current USD),600000000000,606000000000,649000000000
Uzbekistan,UZB,Country,Military expenditure (current USD),,,
St. Vincent and the Grenadines,VCT,Country,Military expenditure (current USD),,,
Venezuela,VEN,Country,Military expenditure (current USD),218154893,464821763,
British Virgin Islands,VGB,Semi Autonomous Region,Military expenditure (current USD),,,
Virgin Islands (U.S.),VIR,Semi Autonomous Region,Military expenditure (current USD),,,
Vietnam,VNM,Country,Military expenditure (current USD),5017401787,5073853534,5500000000
Vanuatu,VUT,Country,Military expenditure (current USD),,,
World,WLD,Regions Clubbed Geographically,Military expenditure (current USD),1630000000000,1700000000000,1780000000000
Samoa,WSM,Country,Military expenditure (current USD),,,
Kosovo,XKX,Country,Military expenditure (current USD),51937624,57262629,63344074
"Yemen, Rep.",YEM,Country,Military expenditure (current USD),,,
South Africa,ZAF,Country,Military expenditure (current USD),3169756001,3638936588,3639879165
Zambia,ZMB,Country,Military expenditure (current USD),299504760,339664531,378025431
Zimbabwe,ZWE,Country,Military expenditure (current USD),358065000,340522000,420364000
